book_title,book_genre,book_rate,successfull_book,paperback,hardback,author,number_of_pages,book_length_mm,book_width_mm,book_depth_mm,book_weight_grams,publication_day,publication_month,publication_year,publisher,publication_city,publication_country,language,bestsellers_rank,price_nis
"Victorinox Swiss Army Knife Camping & Outdoor Survival Guide : 101 Tips, Tricks and Uses",2,4.11,1,1,0,Bryan Lynch,224.0,178.0,147.0,17.78,362.87,9,4,2019,Fox Chapel Publishing,East Petersberg,United States,1,51921,60.94
"Brain Training for Riders : Unlock Your Riding Potential with Stressless Techniques for Conquering Fear, Improving Performance, and Finding Focused Calm",2,4.6,1,1,0,Andrea Monsarrat Waldo,224.0,229.0,152.0,15.0,340.0,15,11,2016,TRAFALGAR SQUARE,North Pomfret,United States,1,52106,90.4
Novak Djokovic,2,3.63,0,1,0,Chris Bowers,368.0,198.0,129.0,25.4,272.16,1,10,2017,John Blake Publishing Ltd,London,United Kingdom,1,8613,45.1
The Unfair Advantage,2,4.47,1,1,0,Mark Donohue,350.0,250.0,200.0,10.0,612.0,31,3,2005,"Bentley (Robert) Inc.,US",Cambridge,United States,1,154753,132.75
Crack Climbing : The Definitive Guide,2,4.78,1,1,0,Pete Whittaker,304.0,213.0,175.0,18.0,680.0,1,1,2020,Mountaineers Books,Seattle,United States,1,47022,104.5
Greece on my Wheels,2,3.48,0,1,0,Edward Enfield,320.0,196.0,130.0,21.0,240.0,1,5,2012,Octopus Publishing Group,United Kingdom,United Kingdom,1,149024,50.76
"Deep Fitness : The Mindful, Science-Based Strength-Training Method to Transform Your Well-Being  in 30 Minutes a Week",2,3.8,0,1,0,Philip Shepherd,224.0,254.0,178.0,20.32,771.11,19,10,2021,"North Atlantic Books,U.S.",Berkeley,CA,1,16687,80.78
Bushido : Samurai Ethics and the Soul of Japan,2,3.9,0,1,0,Inazo Nitobe,128.0,220.0,137.0,7.0,141.0,27,8,2004,Dover Publications Inc.,New York,United States,1,148665,42.57
Build the Perfect Bug Out Bag : Your 72-Hour Disaster Survival Kit,2,4.02,1,1,0,Creek Stewart,208.0,229.0,152.0,20.32,317.51,25,5,2012,F&W Publications Inc,Ohio,United States,1,149760,73.63
On Trails : An Exploration,2,3.97,0,1,0,Robert Moor,352.0,198.0,129.0,23.0,246.0,8,6,2017,Aurum Press,London,United Kingdom,1,150637,85.25
Complete Musashi: The Book of Five Rings and Other Works : Definitive New Translations of the Writings of Miyamoto Musashi - Japan's Greatest Samurai!,2,3.89,0,1,0,Musashi,240.0,191.0,127.0,22.86,294.84,2,3,2021,Tuttle Publishing,Japan,Japan,1,5470,72.83
Golf Anatomy,2,4.75,1,1,0,Craig Davies,224.0,254.0,178.0,10.16,567.0,21,5,2018,Human Kinetics Publishers,Champaign,IL,1,149828,95.95
A Place Apart : Northern Ireland in the 1970s,2,4.16,1,1,0,Dervla Murphy,320.0,210.0,152.0,22.86,370.0,30,9,2015,Eland Publishing Ltd,London,United Kingdom,1,44651,64.73
Will It Make The Boat Go Faster? : Olympic-winning Strategies for Everyday Success - Second Edition,2,3.96,0,1,0,Harriet Beveridge,304.0,234.0,156.0,21.59,480.81,28,4,2020,Troubador Publishing,Market Harborough,United Kingdom,1,153499,76.03
The Escape Artist : Life from the Saddle,2,4.06,1,1,0,Matt Seaton,192.0,198.0,129.0,13.0,130.0,2,6,2003,HarperCollins Publishers,London,United Kingdom,1,150789,49.76
Sea Fishing Properly Explained,2,3.55,0,1,0,Ian Ball,128.0,196.0,128.0,12.0,110.0,2,10,2008,"Little, Brown Book Group",London,United Kingdom,1,148611,40.1
Touching Cloudbase : The Complete Guide to Paragliding,2,4.1,1,1,0,Ian Currer,268.0,240.0,170.0,20.0,758.0,15,8,2015,Air Supplies,York,United Kingdom,1,67084,118.18
Again to Carthage : A Novel,2,4.01,1,1,0,John L. Parker,384.0,214.0,140.0,25.0,361.0,27,8,2015,Simon & Schuster,New York,United States,1,151508,49.43
The Essential Wooden: A Lifetime of Lessons on Leaders and Leadership,2,4.42,1,1,0,John Wooden,224.0,203.0,130.0,13.0,206.0,4,3,2018,McGraw-Hill Education,OH,United States,1,62864,55.54
"Jump Attack : The Formula for Explosive Athletic Performance, Jumping Higher, and Training Like the Pros",2,4.24,1,1,0,Tim S Grover,272.0,226.0,152.0,18.0,658.0,3,6,2014,SIMON & SCHUSTER,New York,United States,1,147060,79.94
"The Athlete's Guide to Recovery : Rest, Relax, and Restore for Peak Performance",2,3.89,0,1,0,Sage Rountree,248.0,227.0,152.0,18.0,453.0,1,4,2011,VeloPress,Boulder,United States,1,144599,76.74
No Spin: My Autobiography,2,3.81,0,1,0,Shane Warne,432.0,198.0,126.0,27.0,337.0,6,6,2019,Ebury Publishing,London,United Kingdom,1,150688,56.91
Champagne Football : John Delaney and the Betrayal of Irish Football: The Inside Story,2,4.33,1,1,0,Mark Tighe,336.0,198.0,129.0,20.0,234.0,30,9,2021,Penguin Books Ltd,London,United Kingdom,1,81390,54.78
Eddie Would Go,2,4.15,1,1,0,Stuart Holmes Coleman,288.0,231.0,152.0,23.0,340.0,7,2,2004,St Martin's Press,New York,United States,1,157508,59.82
44 Years With The Same Bird : A Liverpudlian Love Affair,2,4.36,1,1,0,Brian Reade,336.0,198.0,129.0,21.0,274.0,1,6,2009,Pan Macmillan,London,United Kingdom,1,162520,75.44
Trout Bohemia : Fly-fishing Travels in New Zealand,2,4.36,1,1,0,Derek Grzelewski,196.0,239.0,160.0,22.86,612.0,1,9,2013,Stackpole Books,Mechanicsburg,PA,1,148673,90.01
A World of My Own : The First Ever Non-stop Solo Round the World Voyage,2,4.36,1,1,0,Sir Robin Knox-Johnston,256.0,216.0,138.0,20.32,320.0,3,3,2020,Bloomsbury Publishing PLC,London,United Kingdom,1,150508,55.82
The Glory Game,2,4.19,1,1,0,Hunter Davies,384.0,198.0,129.0,24.0,266.0,6,1,2000,Transworld Publishers Ltd,Edinburgh,United Kingdom,1,146425,58.6
"Sahara : A Journey of Love, Loss and Survival",2,4.08,1,1,0,Paula Constant,400.0,235.0,153.0,26.0,455.0,2,8,2010,Random House Australia,North Sydney,Australia,1,137502,139.72
The Best in the World : At What I Have No Idea,2,4.16,1,1,0,Chris Jericho,432.0,234.0,154.0,36.0,520.0,13,8,2015,Orion Publishing Co,London,United Kingdom,1,149522,62.69
Epic Drives of the World 1,2,4.02,1,1,0,Lonely Planet,328.0,240.0,185.0,21.0,963.0,14,5,2021,Lonely Planet Global Limited,Dublin 8,Ireland,1,49363,85.85
The Complete Soccer Goalkeeper,2,4.1,1,1,0,Tim Mulqueen,208.0,254.0,178.0,12.95,431.0,15,11,2010,Human Kinetics Publishers,Champaign,IL,1,150391,149.16
"Mad, Bad and Dangerous to Know : Updated and revised to celebrate the author's 75th year",2,4.13,1,1,0,Ranulph Fiennes,480.0,196.0,128.0,32.0,320.0,23,1,2020,Hodder & Stoughton,London,United Kingdom,1,52539,58.55
RYA Yachtmaster Handbook,2,4.33,1,1,0,James Stevens,107.0,262.0,196.0,13.0,590.0,1,5,2011,Royal Yachting Association,Hamble,United Kingdom,1,152759,93.59
Zen and the Art of Running : The Path to Making Peace with Your Pace,2,3.41,0,1,0,Larry Shapiro,224.0,191.0,140.0,15.0,311.0,18,11,2009,Adams Media Corporation,Holbrook,MA,1,153448,59.17
"Natural Running : The Simple Path to Stronger, Healthier Running",2,3.66,0,1,0,Danny Abshire,224.0,232.0,153.0,13.0,453.0,1,12,2010,Velopress,Boulder,United States,1,155057,78.2
Riding the Problem Horse,2,4.2,1,1,0,Perry Wood,24.0,245.0,190.0,5.0,90.72,30,11,2006,Quiller Publishing Ltd,Shrewsbury,United Kingdom,1,156027,36.93
Trading Bases : How a Wall Street Trader Made a Fortune Betting on Baseball,2,4.0,1,1,0,Joe Peta,384.0,229.0,152.0,21.0,414.0,4,3,2014,Penguin Putnam Inc,New York,United States,1,92655,74.1
"Go Like Hell : Ford, Ferrari, and Their Battle for Speed and Glory at Le Mans",2,4.44,1,1,0,A J Baime,336.0,201.0,132.0,23.0,318.0,17,6,2010,MARINER BOOKS,United States,United States,1,152136,64.49
Cycling Southern France - Loire to Mediterranean,2,3.8,0,1,0,Richard Peace,144.0,210.0,146.0,16.0,400.0,1,3,2008,Excellent Books,West Yorkshire,United Kingdom,1,152706,77.04
Blessed - The Autobiography,2,3.78,0,1,0,George Best,512.0,198.0,126.0,32.0,343.0,30,10,2004,Ebury Publishing,London,United Kingdom,1,151989,68.46
Torres del Paine : Chile's Premier National Park and Argentina's Los Glaciares National Park,2,4.33,1,1,0,Rudolf Abraham,192.0,172.0,116.0,12.0,240.0,11,9,2018,Cicerone Press,Kendal,United Kingdom,1,152681,80.64
Enzo Ferrari : A Life,2,3.8,0,1,0,Richard Williams,352.0,198.0,129.0,22.0,245.0,1,12,2006,Vintage Publishing,London,United Kingdom,1,101521,61.33
Until Victory Always : A Memoir,2,4.22,1,1,0,Jim McGuinness,304.0,216.0,135.0,24.0,359.0,27,8,2016,Gill,Dublin,Ireland,1,148318,67.71
"Zen Bow, Zen Arrow : The Life and Teachings of Awa Kenzo, the Archery Master from Zen in the Art of A rchery",2,3.94,0,1,0,John Stevens,128.0,183.0,128.0,9.0,125.0,20,2,2007,Shambhala Publications Inc,Boston,United States,1,149748,53.86
Confessions of a Rugby Mercenary,2,3.78,0,1,0,John Daniell,272.0,198.0,126.0,17.0,188.0,19,5,2009,Ebury Publishing,London,United Kingdom,1,157693,63.32
"The Time-Crunched Cyclist : Race-Winning Fitness in 6 Hours a Week, 3rd Ed.",2,3.95,0,1,0,Chris Carmichael,440.0,228.0,177.0,23.0,453.0,7,3,2017,VeloPress,Boulder,United States,1,147461,85.86
Trad Climber's Bible,2,4.34,1,1,0,John Long,408.0,235.0,190.0,22.86,62.0,18,3,2014,Rowman & Littlefield,United States,United States,1,152295,98.89
Space Below My Feet,2,3.96,0,1,0,Gwen Moffat,400.0,198.0,135.0,27.0,325.0,1,2,2014,Orion Publishing Co,London,United Kingdom,1,154519,56.72
Fixing Your Feet : Injury Prevention and Treatments for Athletes,2,4.11,1,1,0,John Vonhof,384.0,228.0,152.0,20.0,510.0,18,8,2016,Wilderness Press,Berkeley,United States,1,155128,74.87
Backcountry Skiing : Skills for Ski Touring and Ski Mountaineering,2,4.28,1,1,0,Martin Volken,228.0,215.0,180.0,21.34,589.67,30,11,2007,MOUNTAINEERS BOOKS,Seattle,United States,1,155336,92.77
Kiss or Kill : Confessions of a Serial Climber,2,4.19,1,1,0,Mark Twight,208.0,226.57,150.88,16.51,317.51,1,2,2002,MOUNTAINEERS BOOKS,Seattle,United States,1,155077,73.57
Homer Kelley's Golfing Machine : The Curious Quest that Solved Golf,2,3.71,0,1,0,Scott Gummer,267.0,203.0,140.0,18.8,256.0,3,6,2010,Penguin Putnam Inc,New York,United States,1,155225,68.31
Fifteen Young Men : Australia's Untold Football Tragedy,2,4.11,1,1,0,Paul Kennedy,352.0,232.0,155.0,30.0,426.0,1,12,2016,Random House Australia,North Sydney,Australia,1,154594,110.01
America's Game : The Epic Story of How Pro Football Captured a Nation,2,4.29,1,1,0,Michael Maccambridge,608.0,202.0,133.0,34.0,488.0,18,10,2005,Random House USA Inc,New York,United States,1,157700,61.8
The Fell,2,3.86,0,1,0,Sarah Moss,192.0,216.0,135.0,14.0,205.0,11,11,2021,Pan Macmillan,London,United Kingdom,1,166208,70.12
For the Love of Horses : The Wilson Sisters' Inspiring Journey to Save New Zealand's Wild Horses,2,4.57,1,1,0,Kelly Wilson,304.0,233.0,155.0,20.0,806.0,3,10,2014,Random House New Zealand Ltd,Auckland,New Zealand,1,159063,150.27
Last in the Tin Bath : The Autobiography,2,3.79,0,1,0,David Lloyd,320.0,198.0,130.0,18.0,252.0,2,6,2016,Simon & Schuster Ltd,London,United Kingdom,1,155271,52.04
The Death and Life of Australian Soccer,2,4.49,1,1,0,Joe Gorman,424.0,226.0,153.0,36.0,553.0,1,11,2017,University of Queensland Press,St Lucia,Australia,1,159651,95.57
Adventure Cycle-Touring Handbook,2,4.58,1,1,0,Neil Pike,320.0,208.28,134.62,27.94,589.67,7,10,2015,Trailblazer Publications,Hindhead,Surrey,1,155394,81.45
Body & Soul : Notebooks of an Apprentice Boxer,2,3.9,0,1,0,Loïc Wacquant,288.0,210.0,136.0,19.0,433.0,3,5,2007,Oxford University Press Inc,New York,United States,1,146447,103.98
No-Risk Abs : A Safe Workout Program for Core Strength,2,4.0,1,1,0,Blandine Calais-Germain,176.0,254.0,203.0,13.0,567.0,29,6,2011,Inner Traditions Bear and Company,Rochester,United States,1,156269,81.25
Principles of Conformation Analysis : Equus Reference Guide,2,4.25,1,1,0,Deb Bennett,300.0,244.0,170.0,15.0,482.0,2,4,2012,Primedia Enthusiast Publications,Gaithursburg,MD,1,37413,116.1
Nick Bollettieri's Tennis Handbook,2,4.47,1,1,0,Nick Bollettieri,400.0,254.0,178.0,20.32,816.0,10,11,2015,Human Kinetics Publishers,Champaign,IL,1,18698,110.13
"Speed Training for Combat, Boxing, Martial Arts, and Mma : How to Maximize Your Hand Speed, Foot Speed, Punching Speed, Kicking Speed, Wrestling Speed,",2,3.54,0,1,0,J. Barnes,184.0,229.0,152.0,10.0,278.0,30,9,2005,Fitness Lifestyle,United Kingdom,United Kingdom,1,82200,80.65
Bill Shankly: It's Much More Important Than That : The Biography,2,4.13,1,1,0,Stephen F Kelly,352.0,178.0,108.0,22.0,184.0,16,1,1997,Ebury Publishing,London,United Kingdom,1,64962,63.23
"The Greatest Game Ever Played : Vardon, Ouimet and the birth of modern golf",2,4.44,1,1,0,Mark Frost,480.0,195.0,129.0,31.0,324.0,5,9,2003,"Little, Brown Book Group",London,United Kingdom,1,156975,58.64
The Psychology of Cricket : Developing Mental Toughness [Cricket Academy Series],2,4.33,1,1,0,Stewart Cotterill,232.0,246.0,189.0,12.0,423.0,25,3,2013,Bennion Kearny Ltd,Birmingham,United Kingdom,1,37129,100.46
"Beyond Training : Mastering Endurance, Health & Life",2,3.87,0,1,0,Ben Greenfield,480.0,229.0,152.0,33.02,907.18,25,12,2018,Victory Belt Publishing,United States,United States,1,49082,109.65
Gold in the Water,2,4.33,1,1,0,P Mullen,355.0,235.0,152.0,30.0,386.0,25,2,2003,St Martin's Press,New York,United States,1,151926,75.35
The Runner's Cookbook : More than 100 delicious recipes to fuel your running,2,4.12,1,1,0,Anita Bean,224.0,235.0,208.0,15.24,724.0,6,3,2018,Bloomsbury Publishing PLC,London,United Kingdom,1,157040,78.85
Beyond a Boundary,2,4.12,1,1,0,C. L. R. James,288.0,233.68,149.86,20.32,385.55,17,6,2013,Duke University Press,North Carolina,United States,1,67644,108.75
"""Dirty Northern B*st*rds"" And Other Tales From The Terraces : The Story of Britain's Football Chants",2,3.47,0,1,0,Tim Marshall,224.0,198.0,129.0,17.78,158.76,1,11,2014,Elliott & Thompson Limited,London,United Kingdom,1,14444,50.12
"Men's Health Your Body is Your Barbell : No Gym. Just Gravity. Build a Leaner, Stronger, More Muscular You in 28 Days!",2,4.0,1,1,0,Bj Gaddour,288.0,231.0,194.0,16.0,709.0,13,5,2014,Rodale Press Inc.,Emmaus,United States,1,165120,89.24
Archery,2,4.17,1,1,0,USA Archery,232.0,254.0,178.0,17.78,499.0,10,1,2013,Human Kinetics Publishers,Champaign,IL,1,157146,98.32
The Rodchenkov Affair : How I Brought Down Russia's Secret Doping Empire - Winner of the William Hill Sports Book of the Year 2020,2,4.16,1,1,0,Grigory Rodchenkov,320.0,198.0,126.0,19.0,218.0,1,9,2021,Ebury Publishing,London,United Kingdom,1,7306,51.34
How to Run : From fun runs to marathons and everything in between,2,3.53,0,1,0,Paula Radcliffe,176.0,246.0,189.0,1.0,719.0,1,4,2012,Simon & Schuster Ltd,London,United Kingdom,1,156490,106.58
Marathon : You Can Do It!,2,3.96,0,1,0,Jeff Galloway,240.0,228.0,184.0,17.78,425.0,11,5,2010,"Shelter Publications Inc.,U.S.",Bolinas,United States,1,152842,71.19
"1000 Football Clubs : Teams, Stadiums, and Legends of the Beautiful Game",2,4.46,1,1,0,Jean Damien Lesay,320.0,229.0,171.0,23.0,987.0,21,7,2016,Universe Publishing,New York,United States,1,160846,127.61
Notes from the Hard Shoulder,2,3.75,0,1,0,James May,224.0,194.0,130.0,14.0,158.0,10,5,2007,Ebury Publishing,London,United Kingdom,1,157722,62.7
Lonely Planet Best Day Walks New Zealand,2,4.0,1,1,0,Lonely Planet,224.0,210.0,165.0,17.0,490.0,12,3,2021,Lonely Planet Global Limited,Dublin 8,Ireland,1,14854,77.5
"Cape Horn : The Logical Route: 14,216 Miles Without a Port of Call",2,4.31,1,1,0,Bernard Moitessier,251.0,215.0,142.0,17.0,327.0,1,4,2003,ROWMAN & LITTLEFIELD,Lanham,United States,1,155180,64.88
Bike Repair and Maintenance For Dummies,2,3.76,0,1,0,Dennis Bailey,360.0,243.0,183.0,20.0,656.0,9,2,2009,John Wiley & Sons Inc,New York,United States,1,157499,68.1
My Year Without Matches,2,3.7,0,1,0,Claire Dunn,288.0,197.0,130.0,30.0,274.0,25,2,2015,Black Inc.,Melbourne,VIC,1,37975,99.05
Full Gas : How to Win a Bike Race - Tactics from Inside the Peloton,2,3.99,0,1,0,Peter Cossins,336.0,198.0,129.0,20.0,234.0,6,6,2019,Vintage Publishing,London,United Kingdom,1,155364,54.78
Race To Dakar,2,3.89,0,1,0,Charley Boorman,320.0,197.0,131.0,22.0,228.0,28,7,2008,"Little, Brown Book Group",London,United Kingdom,1,156932,47.41
For the Glory : The Life of Eric Liddell,2,4.32,1,1,0,Duncan Hamilton,528.0,198.0,127.0,33.0,410.0,4,5,2017,Transworld Publishers Ltd,London,United Kingdom,1,157227,60.36
King of the World : Muhammad Ali and the Rise of an American Hero,2,4.27,1,1,0,David Remnick,352.0,203.0,132.0,18.0,329.0,5,10,1999,Random House USA Inc,New York,United States,1,157738,73.66
Treating Epilepsy Naturally,2,4.31,1,1,0,Patricia Murphy,336.0,221.0,180.0,18.0,455.0,17,10,2001,"NTC Publishing Group,U.S.",Lincolnwood,United States,1,21852,84.93
The Race Against the Stasi,2,3.9,0,1,0,Herbie Sykes,416.0,198.0,129.0,30.48,328.0,28,6,2016,Aurum Press,London,United Kingdom,1,136864,53.0
One Day in September,2,4.09,1,1,0,Simon Reeve,400.0,180.0,110.0,25.0,247.0,1,12,2005,Faber & Faber,London,United Kingdom,1,149429,56.32
Ultra : The Underworld of Italian Football,2,3.97,0,1,0,Tobias Jones,432.0,198.0,129.0,30.48,317.51,1,3,2021,Head of Zeus,London,United Kingdom,1,42022,58.75
Athletic Development : The Art & Science of Functional Sports Conditioning,2,4.08,1,1,0,Vern Gambetta,312.0,254.0,178.0,19.0,658.0,21,12,2006,Human Kinetics Publishers,Champaign,IL,1,151367,104.59
"Rowing the Pacific : 7,000 Miles from Japan to San Francisco",2,4.41,1,1,0,Mick Dawson,288.0,232.0,154.0,22.0,384.0,21,9,2017,"Little, Brown Book Group",London,United Kingdom,1,66466,48.78
Bushido: The Soul of Japan,2,3.9,0,1,0,Inazo Nitobe,144.0,181.0,111.0,8.0,89.0,8,6,2021,Penguin Books Ltd,London,United Kingdom,1,160674,39.18
Now I Can Die in Peace : How The Sports Guy Found Salvation Thanks to the World Champion (Twice!) Red Sox,2,3.91,0,1,0,Bill Simmons,468.0,228.0,152.0,24.0,488.0,24,3,2009,Random House USA Inc,New York,United States,1,159320,78.92
Tommy's Honour : The Extraordinary Story of Golf's Founding Father and Son,2,4.31,1,1,0,Kevin Cook,384.0,198.0,129.0,24.0,270.0,2,6,2008,HarperCollins Publishers,London,United Kingdom,1,80547,54.79
"Quiet Leadership : Winning Hearts, Minds and Matches",2,4.0,1,1,0,Carlo Ancelotti,336.0,214.0,153.0,24.0,401.0,26,5,2016,Penguin Books Ltd,London,United Kingdom,1,158537,82.66
Shaolin Qi Gong : Energy in Motion,2,3.82,0,1,0,Shi Xinggui,160.0,229.0,152.0,20.0,322.0,10,12,2008,Inner Traditions Bear and Company,Rochester,United States,1,159077,76.03
Devlin's Boatbuilding: How to Build Any Boat the Stitch-and-Glue Way,2,4.04,1,1,0,Samual Devlin,208.0,234.0,191.0,10.0,377.0,16,4,2009,International Marine Publishing Co,Rockport,ME,1,155882,98.98
Strong Woman : The Truth About Getting to the Top,2,3.74,0,1,0,Karren Brady,288.0,198.0,129.0,19.0,210.0,11,4,2013,HarperCollins Publishers,London,United Kingdom,1,159463,54.58
The Strength and Conditioning Bible : How to Train Like an Athlete,2,4.22,1,1,0,Nick Grantham,256.0,230.0,189.0,15.24,658.0,10,11,2015,Bloomsbury Publishing PLC,London,United Kingdom,1,54732,88.34
Start the Car : The World According to Bumble,2,3.49,0,1,0,David Lloyd,320.0,198.0,129.0,21.0,240.0,1,6,2011,HarperCollins Publishers,London,United Kingdom,1,168085,49.54
Higher Judo : Groundwork,2,4.41,1,1,0,Moshe Feldenkrais,288.0,202.0,128.0,15.0,329.0,28,12,2010,"North Atlantic Books,U.S.",Berkeley,CA,1,132137,77.67
Outback Survival,2,4.26,1,1,0,Bob Cooper,272.0,198.0,130.0,24.0,260.0,22,12,2016,Hachette Australia,Sydney,Australia,1,160714,77.22
At Swim,2,4.75,1,1,0,Brendan Mac Evilly,191.0,210.0,170.0,18.0,420.0,8,2,2017,The Collins Press,Cork,Ireland,1,158276,84.27
Out of Thin Air : Running Wisdom and Magic from Above the Clouds in Ethiopia,2,4.3,1,1,0,Michael Crawley,272.0,198.0,129.0,17.78,206.0,18,1,2022,Bloomsbury Publishing PLC,London,United Kingdom,1,41231,50.67
Sports Science: A Complete Introduction: Teach Yourself,2,4.0,1,1,0,Simon Rea,224.0,234.0,202.0,20.0,446.0,9,2,2016,John Murray Press,United Kingdom,United Kingdom,1,18312,75.21
At Speed,2,3.87,0,1,0,Mark Cavendish,336.0,198.0,126.0,21.0,241.0,8,5,2014,Ebury Publishing,London,United Kingdom,1,154830,64.41
To Reach the Clouds : The Walk film tie in,2,4.11,1,1,0,Philippe Petit,240.0,198.0,129.0,16.0,193.0,17,9,2015,FABER & FABER,London,United Kingdom,1,159825,33.36
Strongman : My Story,2,4.26,1,1,0,Eddie 'The Beast' Hall,352.0,200.0,130.0,10.0,250.0,31,5,2018,Ebury Publishing,London,United Kingdom,1,159904,58.27
Tour De France For Dummies,2,3.55,0,1,0,Phil Liggett,284.0,232.0,154.0,22.0,450.0,3,6,2005,John Wiley & Sons Inc,Hoboken,NJ,1,159257,66.39
Cheat : The not-so-subtle art of conning your way to sporting glory,2,3.99,0,1,0,Titus O'Reily,304.0,233.0,154.0,22.0,410.0,3,11,2020,Penguin Random House Australia,Hawthorn,Australia,1,146033,136.12
The Unavowable Community,2,4.01,1,1,0,Maurice Blanchot,92.0,229.0,152.0,5.0,148.0,1,6,2006,"Barrytown Ltd ,U.S.",NY,United States,1,64070,52.05
"Weights For 50+ : Building Strength, Staying Healthy and Enjoying an Active Lifestyle",2,3.97,0,1,0,Karl Knopf,128.0,234.0,190.0,8.13,275.0,5,1,2006,Ulysses Press,Berkeley,CA,1,163184,67.21
Touch Wood,2,4.34,1,1,0,Duncan Hamilton,288.0,198.0,126.0,22.1,285.76,1,9,2014,John Blake Publishing Ltd,London,United Kingdom,1,40582,47.75
Run-Walk-Run Method,2,3.64,0,1,0,Jeff Galloway,200.0,238.76,165.1,12.7,476.27,1,6,2016,Meyer & Meyer Sport (UK) Ltd,Garsington,United Kingdom,1,167088,107.42
The Art and Science of Staff Fighting : A Complete Instructional Guide,2,4.33,1,1,0,Joe Varady,224.0,238.0,184.0,13.0,463.0,7,12,2016,YMAA Publication Center,Rolindale,MA,1,51133,79.99
Putting It All Together: The New Orthomolecular Nutrition,2,4.31,1,1,0,Abram Hoffer,240.0,229.0,158.0,15.0,331.0,1,11,1998,Keats Pub Inc,New Canaan,CT,1,20802,75.67
View From The Summit,2,3.89,0,1,0,Sir Edmund Hillary,416.0,198.0,127.0,26.0,283.0,2,4,2003,Transworld Publishers Ltd,London,United Kingdom,1,161660,58.95
The Strange Last Voyage of Donald Crowhurst : Now Filmed As The Mercy,2,4.05,1,1,0,Nicholas Tomalin,320.0,197.0,129.0,17.0,214.0,29,12,2016,Hodder & Stoughton,United Kingdom,United Kingdom,1,163012,47.12
Inside Sport Psychology,2,4.11,1,1,0,Costas I. Karageorghis,248.0,254.0,178.0,16.51,544.0,15,11,2010,Human Kinetics Publishers,Champaign,IL,1,164270,102.23
The Laser Book : Laser Sailing from Start to Finish,2,4.21,1,1,0,Tim Davison,128.0,240.0,170.0,10.16,324.0,17,10,2017,FERNHURST BOOKS,Leamington Spa,United Kingdom,1,33994,77.11
The Essence and Applications of Taijiquan,2,4.05,1,1,0,Yang Chengfu,160.0,228.0,152.0,9.0,272.0,1,7,2005,"North Atlantic Books,U.S.",Berkeley,CA,1,159037,70.25
The Definitive Guide to Betting on Football,2,3.92,0,1,0,Kevin Pullein,160.0,210.0,135.0,19.0,249.0,9,11,2009,Raceform Ltd,Newbury,United Kingdom,1,163490,53.93
The Fight,2,4.07,1,1,0,Norman Mailer,256.0,202.0,132.0,14.0,227.0,15,10,2013,Random House USA Inc,New York,United States,1,174555,65.52
"Meb For Mortals : How to Run, Think, and Eat like a Champion Marathoner",2,3.92,0,1,0,Meb Keflezighi,208.0,232.0,190.0,14.0,283.0,7,4,2015,Rodale Press Inc.,Emmaus,United States,1,166166,68.41
Seabiscuit : An American Legend,2,4.18,1,1,0,Laura Hillenbrand,448.0,209.0,140.0,23.0,352.0,26,3,2002,Random House USA Inc,New York,United States,1,162787,70.18
"T'ai Chi : The ""Supreme Ultimate"" Exercise for Health, Sport, and Self-Defense",2,4.2,1,1,0,Cheng Man-Ch'ing,128.0,229.0,152.0,12.7,284.0,21,3,2005,Tuttle Publishing,Boston,United States,1,162818,74.15
"Where There's A Will : Hope, Grief and Endurance in a Cycle Race Across a Continent",2,4.41,1,1,0,Emily Chappell,288.0,198.0,129.0,17.0,257.0,5,11,2020,Profile Books Ltd,London,United Kingdom,1,163426,49.9
Yoga for Cyclists,2,3.81,0,1,0,Lexie Williamson,192.0,234.0,156.0,10.16,420.0,3,3,2015,Bloomsbury Publishing PLC,London,United Kingdom,1,161405,80.62
Dead Lucky : Life After Death on Mount Everest,2,3.86,0,1,0,Lincoln Hall,352.0,228.0,151.0,23.0,374.0,14,5,2009,Penguin Putnam Inc,Los Angeles,United States,1,162100,75.34
Singlehanded Sailing,2,3.96,0,1,0,Andrew Evans,256.0,231.0,185.0,13.0,447.0,16,10,2014,McGraw-Hill Education - Europe,New York,United States,1,153862,72.34
"Mindful Running : How Meditative Running can Improve Performance and Make you a Happier, More Fulfilled Person",2,3.7,0,1,0,Mackenzie L. Havey,208.0,198.0,129.0,12.7,152.0,28,12,2017,Bloomsbury Publishing PLC,London,United Kingdom,1,164113,52.35
"Runner's World Train Smart, Run Forever : How to Become a Fit and Healthy Lifelong Runner by Following The Innovative 7-Hour Workout Week",2,3.48,0,1,0,Bill Pierce,304.0,228.0,152.0,20.0,414.0,4,4,2017,Rodale Press Inc.,Emmaus,United States,1,164314,71.12
"Swim Speed Strokes for Swimmers and Triathletes : Master Freestyle, Butterfly, Breaststroke and Backstroke for Your Fastest Swimming",2,4.35,1,1,0,Sheila Taormina,224.0,228.0,177.0,13.0,589.0,25,9,2014,VeloPress,Boulder,United States,1,164596,89.83
"The Club : How the Premier League Became the Richest, Most Disruptive Business in Sport",2,4.35,1,1,0,Jonathan Clegg,352.0,198.0,130.0,26.0,280.0,8,8,2019,John Murray Press,London,United Kingdom,1,164101,50.92
North by Northwestern : A Seafaring Family on Deadly Alaskan Waters,2,3.92,0,1,0,Sig Hansen,352.0,216.0,137.0,23.0,408.0,12,4,2011,St Martin's Press,New York,United States,1,194791,83.14
